application_id,user_id,offer_month,offer_number,current_lender,current_balance,current_monthly_payment,current_remaining_term_months,current_total_left_to_pay,offer_apr,offer_term_months,offer_monthly_payment,offer_total_payable,monthly_saving,total_cost_saving
A017542,U105213,2026-03,3,,4554.2,704.13,7,4928.9,20.5,22,250.08,5501.83,454.05,-572.93
A017543,U110933,2026-03,1,,15868.14,440.72,51,22476.91,14.7,66,351.97,23229.85,88.76,-752.95
A017544,U109370,2026-03,2,,8328.85,361.81,32,11577.95,20.7,17,569.46,9680.8,-207.65,1897.15
A017545,U112886,2026-03,1,,6643.13,332.17,26,8636.34,11.8,20,367.51,7350.27,-35.35,1286.07
A017546,U107644,2026-03,2,,7550.23,369.22,27,9968.87,17.9,15,565.49,8482.33,-196.27,1486.54
A017547,U107465,2026-03,2,,12149.49,643.57,24,15445.69,13.2,18,747.69,13458.44,-104.12,1987.25
A017548,U111256,2026-03,1,,8331.36,245.01,55,13475.62,8.9,52,193.68,10071.42,51.33,3404.2
A017549,U107756,2026-03,2,,17421.68,475.86,55,26172.14,8.9,55,386.9,21279.53,88.96,4892.61
A017550,U107410,2026-03,2,,8732.6,269.51,58,15631.43,20.5,53,251.77,13344.04,17.73,2287.39
A017551,U104088,2026-03,3,,27638.58,939.95,44,41357.76,21.3,56,782.85,43839.55,157.1,-2481.79
A017552,U105632,2026-03,3,,3071.0,369.39,9,3324.55,18.4,25,148.81,3720.33,220.58,-395.78
A017553,U104996,2026-03,3,,13259.19,848.3,19,16117.64,21.0,35,509.83,17843.94,338.47,-1726.3
A017554,U107564,2026-03,2,,6154.49,279.61,28,7829.05,11.2,32,223.37,7147.7,56.24,681.35
A017555,U102430,2026-03,4,,5224.04,528.73,11,5816.08,9.8,14,396.4,5549.65,132.33,266.42
A017556,U104495,2026-03,3,,3799.7,129.35,52,6726.38,24.9,71,102.75,7295.22,26.6,-568.85
A017557,U102063,2026-03,4,,6698.64,753.89,10,7538.88,19.2,14,537.86,7530.09,216.02,8.78
A017558,U100020,2026-03,4,,5939.14,450.22,16,7203.6,18.8,12,546.76,6561.17,-96.54,642.43
A017559,U108793,2026-03,2,,10667.65,385.05,44,16942.02,17.4,47,314.61,14786.62,70.44,2155.4
A017560,U104373,2026-03,3,,12031.82,586.54,27,15836.54,17.4,24,597.2,14332.69,-10.66,1503.85
A017561,U101380,2026-03,4,,8637.2,371.19,29,10764.37,11.5,23,420.23,9665.19,-49.04,1099.18
A017562,U108408,2026-03,2,Lender H,15207.7,541.56,50,27078.24,23.2,48,489.1,23476.66,52.47,3601.58
A017563,U112254,2026-03,1,,9696.25,392.77,34,13354.04,12.3,33,347.8,11477.54,44.96,1876.51
A017564,U102596,2026-03,4,,9548.41,665.78,17,11318.2,19.1,45,298.79,13445.35,366.99,-2127.15
A017565,U109283,2026-03,2,,3524.41,337.2,12,4046.42,13.4,12,315.45,3785.42,21.75,260.99
A017566,U110905,2026-03,1,,6720.29,539.28,14,7549.95,10.5,12,592.38,7108.61,-53.1,441.34
A017567,U111301,2026-03,1,,17271.03,792.41,28,22187.53,13.6,23,857.25,19716.84,-64.84,2470.69
A017568,U110245,2026-03,1,,13547.99,393.84,49,19298.0,11.3,51,335.75,17123.09,58.09,2174.92
A017569,U105115,2026-03,3,,6310.67,261.88,34,8904.02,17.1,28,274.91,7697.43,-13.03,1206.6
A017570,U103946,2026-03,3,,2985.94,189.28,19,3596.31,10.0,13,243.31,3163.01,-54.03,433.3
A017571,U111583,2026-03,1,,10972.29,749.69,18,13494.41,22.4,43,373.38,16055.54,376.3,-2561.13
A017572,U110888,2026-03,1,,18847.3,776.12,32,24835.8,17.4,47,555.84,26124.58,220.28,-1288.78
A017573,U104872,2026-03,3,,20143.44,637.66,50,31883.23,9.9,50,493.29,24664.66,144.37,7218.57
