user_id,why_not_taken_up,what_would_change_your_mind
U111281,I'm not comfortable moving thousands of pounds around in an app without talking to anyone,If someone rang me I probably would have done it
U119435,"Bit late, I'm almost done paying it off","Nothing really, I'm nearly done with my loan"
U119616,Meant to come back to it and never did,Fewer documents
U115336,The monthly payment was lower but the total I'd pay back was higher. No thanks,A genuine saving over the whole loan
U122772,"Waiting on my lender for the settlement figure, it never came",someone doing the settlement bit for me
U111267,Wasn't clear what happens to my existing loan,A clearer explanation of how it works
U102362,Looked good until I saw the total cost line,A genuine saving over the whole loan
U107028,Didn't want to do something this big without speaking to someone first,A callback option
U100018,Lower monthly but a longer term. I worked out I'd pay about £600 more in the end,A genuine saving over the whole loan
U120561,Would have liked someone to call me,If someone rang me I probably would have done it
U115950,It said I'd save £327 a month but the total cost was more than my current loan,"Lower total cost, simple as that"
U119755,Too many hoops to jump through,Being able to do it all in one sitting
U107316,I didn't really understand how it works with paying off the old loan,A clearer explanation of how it works
U115722,"monthly saving yes but over 2 extra years, no thanks",Being upfront that the total cost goes up. And then making it not go up
U121278,I sent what I thought was a settlement letter and heard nothing back,Clearer feedback when the upload fails
U106824,"I've only got a few months left on my loan, not worth switching now",An offer a year ago would have been good
U119936,Got stuck at the settlement quote bit. My lender's app doesn't have anything like that,If my lender wasn't so useless. Not really your fault
U120189,Started the application but it was taking too long so I left it,"If you filled most of it in for me, you have my details already"
U116892,Total repayable went up. Why would I do that,A genuine saving over the whole loan
U120762,"Tried to find a contact number to ask about my situation, gave up",A phone call to walk me through it
U107849,Would have liked someone to call me,A human to talk to
U111027,"Stretching my loan out and charging me more for it, no thank you",cheaper overall not just monthly
U112917,Wasn't clear what happens to my existing loan,An FAQ or a video explaining it
U121657,didnt have time to chase my bank for paperwork,If you got the settlement figure from my lender directly
U118806,didnt have time to chase my bank for paperwork,Not having to chase my bank for paperwork
U109572,Total repayable went up. Why would I do that,A genuine saving over the whole loan
U119837,"Connecting my bank and uploading documents, too much hassle",Being able to do it all in one sitting
U120262,"Waiting on my lender for the settlement figure, it never came",Not having to chase my bank for paperwork
U121591,I didn't get how the switch actually happens so I left it,Knowing for certain you pay off my old loan for me
U102709,My circumstances changed,n/a
U103068,The application was fine until you asked for a letter from my other lender. gave up there,someone doing the settlement bit for me
U110864,"I'd save a few quid a month, not worth the paperwork",A bigger saving
U109709,The settlement quote bit. I uploaded something and it never went through,If someone had checked my document and told me what was wrong
U111748,Not enough in it for me,If it saved me £50 or more a month I'd have done it
U107338,the saving wouldnt even cover a takeaway,"A proper saving, not pocket change"
U116929,"It's a big decision, I wanted a human not an app",If someone rang me I probably would have done it
U120269,My lender took ages to send the settlement letter so I gave up,If you could just look up what I owe like you did for the quote
U106702,Confusing. Do I end up with two loans?,A clearer explanation of how it works
U119119,The monthly payment was lower but the total I'd pay back was higher. No thanks,If the total repayable was less than what I owe now
U117466,"Sent you my latest statement, got told it wasn't valid, couldn't be bothered after that",Clearer feedback when the upload fails
U109693,The overall amount was higher. Felt a bit misleading to call that a saving tbh,"An offer that actually saves me money overall, not just per month"
U115620,The overall amount was higher. Felt a bit misleading to call that a saving tbh,"Lower total cost, simple as that"
